text,category
"USGS reports a M0.4 earthquake, 10 km N of Lemmon Valley, Nevada on 8/18/22 @ 10:46:58 UTC https://t.co/bhj97yHiTg #earthquake",earthquake
"#Earthquake (#zemljotres) possibly felt 22 sec ago in #Bosnia&amp;Herzegovina. Felt it? Tell us via:
📱https://t.co/LBaVNedgF9
🌐https://t.co/AXvOM7I4Th
🖥https://t.co/wPtMW5ND1t
⚠ Automatic crowdsourced detection, not seismically verified yet. More info soon! https://t.co/cKflhelzPT",earthquake
"Of course hoping . U might actually created a earthquake up at inside there , but idk , that’s coming , u still run 😙😅",other
apparently an earthquake happened near where i live last night?? i didn't feel anything lol,earthquake
@tassy_baartman Maar earthquake ena we know why 😭💀,other
#Earthquake (#sismo) M3.7 strikes 19 km NW of #Chinandega (#Nicaragua) 6 min ago. More info: https://t.co/Q9NNv1TS92,earthquake
@no_earthquake @davidson_dylan ok but I’m literally too bad at those kind of games if I don’t at least a bit,other
#Earthquake (#gempa) M2.8 strikes 83 km S of #Gorontalo (#Indonesia) 7 min ago. More info: https://t.co/f3Kjky08Hc,earthquake
@davidson_dylan @no_earthquake I was gonna write “tarnished” instead of dulled and was like Christ that’s gonna look nerdy,other
@dee_bee_h @no_earthquake playing samurai is fun and sad bc it’s like “surprise! you start the best weapon in the game:)”,other
THE LORD STRUCK THE MOUNTAINS OF ANDES WITH A HUGE EARTHQUAKE BECAUSE HORRENDOUS HUMAN SACRIFICE #TheComingChrist,earthquake
@dee_bee_h @davidson_dylan dont follow the guides !!!!!!!,other
"USGS reports a M4.5 earthquake, 77 km N of Amahai, Indonesia on 8/18/22 @ 1:03:17 UTC https://t.co/rQULPxJsXQ #earthquake",earthquake
"@RomaNic0las @CommieGIR @IntelCrab Because Fukashima was not expecting to be hit with a tidal wave, pretty sure they were doing damage analysis from the earthquake when hit. Which hit all of their back up systems. It was a worst case scenario. But for the most part, the radiation leak was not as bad as Chernobyl",other
"📌 Earthquake information - New event 📌

#earthquake #USGS #Maluku #Indonesia

Date and time (UTC): 08/18/2022 01:03:17 AM
Magnitude: 4.5 mb
Area: 77 km N of Amahai, Indonesia
Depth (km): 10
Latitude: -2.6487
Longitude: 129.013 https://t.co/HoRgiSmPeQ",earthquake
