text,category
"@adzin929 Hi, I’m Disaster Bot. To report flooding near you, reply with #flood. https://t.co/0mYYk91iMq",other
Near real time satellite imagery with Heavy Rainfall Potential Areas shown in magenta (if present). Image captured by Himawari satellite. Updated at 2022-08-19 00:56:10 NPT. #rainfall #nepal https://t.co/vPT89lTjbF,flood
"Heavy rainfall this week has caused flooding across parts of England, Scotland and Wales. https://t.co/acgNDfFADO",flood
These are the kinds of storms where we may see some pretty strong straight-line winds and streets could briefly flood amid downpours. You've got to love Houston—from drought to flooding in 10 minutes flat.,flood
"Strong storms starting to develop over the area with frequent lightning, gusty winds, and heavy rainfall threats into the evening hours. Stay aware #houwx #txwx https://t.co/kYbdjo1Ftq",flood
Seeing all the flooding in the Navajo Nation makes me wonder if the 20 year drought had a hand in people's forgetfulness and they build their homes in flood plains.,flood
"FutureDanger Indicator: UNPRECEDENTED FLOODS KILL
HeatMap Column 4&gt; https://t.co/vQU1XdY4pC
 #Flood  #Flooding  #Floods #WarnOthers https://t.co/JV2VgoaAzD",flood
"If you haven't watched this, I strongly recommend you do.
It was an interesting discussion, where I suggested the Borno state government to swiftly construct effective drainage system across the city to arrest recurrent flooding in Maiduguri.
https://t.co/YkDI0dsuec https://t.co/Jic9GsrBes",other
NWS Alert&gt; Strong Thunderstorm Near Dowling Park or 7 Miles S of Suwannee River State Park Moving E At 15 MPH. Winds Over 40 MPH &amp; Minor Flooding Due to Heavy Rainfall. Gusty Winds Could Knock Down Tree Limbs &amp; Blow Aroun... #flwx https://t.co/EMUfTpLUjx,flood
NWS Alert&gt; Strong Thunderstorm Near Dowling Park or 7 Miles S of Suwannee River State Park Moving E At 15 MPH. Winds Over 40 MPH &amp; Minor Flooding Due to Heavy Rainfall. Gusty Winds Could Knock Down Tree Limbs &amp; Blow Around Unse... https://t.co/z0XZAtblwD,flood
In pictures: Flooding across UK this week after heavy rain https://t.co/KFbGirpXlz,flood
"Sudan: Torrential rain, floods kill 77 and destroy 14,500 homes

Flooding in Sudan has killed 77 people and destroyed an estimated 14,500 homes as seasonal rains pound the country, causing rivers to flood and destroying property.

According to international media, the death … https://t.co/wfK5Ij9kxx",flood
"Great video shot by @i_p_a_1 of EPWater infrastructure at work after heavy rainfall. You can see the force of stormwater runoff making its way downstream into an arroyo. Please stay out of stormwater canals, channels and ponds, they can turn dangerous very quickly! #monsoon https://t.co/rHRYauwAvO",flood
@thebanjane Absolutely! I should add that while that photo is heavily saturated it could have also been from one taken after some heavy rain. Things always look more verdant after a good rainfall.,other
Near real time satellite imagery with Heavy Rainfall Potential Areas shown in magenta (if present). Image captured by Himawari satellite. Updated at 2022-08-19 00:46:10 NPT. #rainfall #nepal https://t.co/vVTrJk1cnC,other
"As flooding events are on the rise, we want to make sure you know your options for financial protection and peace of mind. Contact me to learn more about Inland Flood coverage. https://t.co/hITfwDZ56b",other
"CABIN CAST: Are you heading to the cabin this weekend? In Walker, a chance of showers Saturday morning, but it’ll be followed by sun!  https://t.co/ckLmDF80Og #sponsored by @ABCwillhelp",other
Thunderstorm chances increase over the next several days with lower chances across SW AZ and SE CA. Heavy rain/flash flooding along with strong winds and blowing dust are the primary threats. A Flood Watch remains in effect Fri-Sat across much of AZ. #azwx #cawx https://t.co/Hm9tOLRFiD,flood
